Provincia;Cód. RCD Centro;Denom. Genérica Centro;Centro;Localidad;Grupos EBO;Grupos TVA
Huesca;22002338;Colegio de Educación Infantil y Primaria;PÍO XII;Huesca;2;
Huesca;22002511;Instituto de Educación Secundaria;PIRÁMIDE;Huesca;1;1
Huesca;22003835;Colegio de Educación Infantil y Primaria;MONTECORONA;Sabiñánigo;1;1
Huesca;22004891;Instituto de Educación Secundaria;BIELLO ARAGÓN;Sabiñánigo;1;1
Huesca;22005157;Colegio de Educación Especial;LA ALEGRÍA;Monzón;11;1
Huesca;22010001;Centro Privado de Educación Especial;SAN JORGE;Huesca;6;1
Teruel;44003259;Colegio de Educación Especial;ARBOLEDA;Teruel;9;1
Teruel;44004148;Colegio de Educación Especial;GLORIA FUERTES;Andorra;8;2
Zaragoza;50000850;Colegio de Educación Infantil y Primaria;CAMPO DE BORJA;Borja;1;
Zaragoza;50004612;Colegio de Educación Infantil y Primaria;MONCAYO;Tarazona;1;
Zaragoza;50006049;Colegio de Educación Infantil y Primaria;JULIÁN SANZ IBÁÑEZ;Zaragoza;1;
Zaragoza;50006128;Colegio de Educación Infantil y Primaria;SAN BRAULIO;Zaragoza;2;
Zaragoza;50007376;Centro Privado de Educación Especial;LA PURÍSIMA PARA NIÑOS SORDOS;Zaragoza;16;
Zaragoza;50007674;Centro Privado de Educación Especial;ATADES, CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES;Zaragoza;18;3
Zaragoza;50008630;Centro Privado de Educación Especial;CEDES;San Gregorio;6;1
Zaragoza;50008678;Colegio de Educación Infantil y Primaria;RECTOR MAMÉS ESPERABÉ;Ejea de los Caballeros;2;
Zaragoza;50008915;Centro Privado de Educación Especial;SAN GERMÁN;Zaragoza;4;
Zaragoza;50009488;Centro Privado de Educación Especial;LOS PUEYOS;Villamayor;5;1
Zaragoza;50009646;Centro Privado de Educación Especial;MARÍA SORIANO;Zaragoza;6;
Zaragoza;50010387;Colegio de Educación Especial;ALBORADA;Zaragoza;14;2
Zaragoza;50011537;Colegio de Educación Especial;RINCÓN DE GOYA;Zaragoza;9;2
Zaragoza;50017369;Colegio de Educación Especial;ANGEL RIVIÈRE;Zaragoza;7;1
Zaragoza;50018131;Colegio de Educación Especial;JEAN PIAGET;Zaragoza;13;2
Zaragoza;50019408;Colegio de Educación Especial;SEGEDA;Calatayud;5;1
