Cód. RCD Centro;Centro;Provincia;Localidad
50017886;LA AZUCARERA;Zaragoza;Zaragoza
50017898;REINO DE ARAGÓN;Zaragoza;Puebla de Alfindén (La)
50017904;GALO PONTE;Zaragoza;San Mateo de Gállego
50017916;SAN ROQUE;Zaragoza;María de Huerva
50018121;OCTAVUS;Zaragoza;Utebo
50018131;JEAN PIAGET;Zaragoza;Zaragoza
50018143;LUCIEN BRIET;Zaragoza;Zaragoza
50018246;VALDESPARTERA;Zaragoza;Zaragoza
50018258;MARIE CURIE;Zaragoza;Zaragoza
50018261;RÍO SENA;Zaragoza;Zaragoza
50018271;ROSALES DEL CANAL;Zaragoza;Zaragoza
50018283;FORO ROMANO;Zaragoza;Cuarte de Huerva
50018416;CLARA CAMPOAMOR ROGRÍGUEZ;Zaragoza;Zaragoza
50018428;TORRE DE LOS ESPEJOS;Zaragoza;Utebo
50018817;CATALINA DE ARAGÓN;Zaragoza;Zaragoza
50018829;CORONA DE ARAGÓN;Zaragoza;Zaragoza
50018830;VADORREY-LES ALLÉES;Zaragoza;Zaragoza
50018842;DE LA PUEBLA DE ALFINDÉN;Zaragoza;Puebla de Alfindén (La)
50019019;JULIO VERNE;Zaragoza;Zaragoza
50019020;VALDESPARTERA;Zaragoza;Zaragoza
50019081;SAN JORGE;Zaragoza;Zaragoza
50019101;VILLANUEVA DE GÁLLEGO;Zaragoza;Villanueva de Gállego
50019147;FUNDACIÓN LABORAL DE LA CONSTRUCCIÓN;Zaragoza;Villanueva de Gállego
50019251;VAL DE LA ATALAYA;Zaragoza;María de Huerva
50019287;ZARAGOZA SUR;Zaragoza;Zaragoza
50019299;PILAR BAYONA;Zaragoza;Cuarte de Huerva
50019317;FLORIÁN REY;Zaragoza;Almunia de Doña Godina (La)
50019354;DE LA MUELA;Zaragoza;Muela (La)
50019378;INTERNACIONAL ÁNFORA;Zaragoza;Cuarte de Huerva
50019408;SEGEDA;Zaragoza;Calatayud
50019500;EL PICARRAL;Zaragoza;Zaragoza
50019548;ARCOSUR;Zaragoza;Zaragoza
50019551;VALDESPARTERA III;Zaragoza;Zaragoza
50019597;PARQUE VENECIA;Zaragoza;Zaragoza
50019615;SOLEDAD PUÉRTOLAS;Zaragoza;Zaragoza
50019676;MARTINA BESCÓS;Zaragoza;Cuarte de Huerva
50019731;FIGUERUELAS;Zaragoza;Figueruelas
50019792;MARÍA ZAMBRANO;Zaragoza;Zaragoza
