Provincia;Cód. RCD Centro;Denom. Genérica Centro;Centro;Localidad;Grupos EBO;Grupos TVA
Zaragoza;50000850;Colegio de Educación Infantil y Primaria;CAMPO DE BORJA;Borja;1;
Zaragoza;50004612;Colegio de Educación Infantil y Primaria;MONCAYO;Tarazona;1;
Zaragoza;50005616;Centro Privado de Educación Especial;SAN ANTONIO;Zaragoza;4;
Zaragoza;50005616;Centro Privado de Educación Especial;SAN ANTONIO;Zaragoza;;1
Zaragoza;50006049;Colegio de Educación Infantil y Primaria;JULIÁN SANZ IBÁÑEZ;Zaragoza;1;
Zaragoza;50006128;Colegio de Educación Infantil y Primaria;SAN BRAULIO;Zaragoza;2;
Zaragoza;50007376;Centro Privado de Educación Especial;LA PURÍSIMA PARA NIÑOS SORDOS;Zaragoza;16;
Zaragoza;50007674;Centro Privado de Educación Especial;ATADES, CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES;Zaragoza;14;
Zaragoza;50007674;Centro Privado de Educación Especial;ATADES, CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES;Zaragoza;;2
Zaragoza;50008630;Centro Privado de Educación Especial;CEDES;San Gregorio;6;
Zaragoza;50008630;Centro Privado de Educación Especial;CEDES;San Gregorio;;1
Zaragoza;50008678;Colegio de Educación Infantil y Primaria;RECTOR MAMÉS ESPERABÉ;Ejea de los Caballeros;2;
Zaragoza;50008915;Centro Privado de Educación Especial;SAN GERMÁN;Zaragoza;4;
Zaragoza;50009488;Centro Privado de Educación Especial;LOS PUEYOS;Villamayor;7;
Zaragoza;50009488;Centro Privado de Educación Especial;LOS PUEYOS;Villamayor;;2
Zaragoza;50009646;Centro Privado de Educación Especial;MARÍA SORIANO;Zaragoza;5;
Zaragoza;50010387;Colegio de Educación Especial;ALBORADA;Zaragoza;13;
Zaragoza;50010387;Colegio de Educación Especial;ALBORADA;Zaragoza;;2
Zaragoza;50011537;Colegio de Educación Especial;RINCÓN DE GOYA;Zaragoza;10;
Zaragoza;50011537;Colegio de Educación Especial;RINCÓN DE GOYA;Zaragoza;;1
Zaragoza;50017369;Colegio de Educación Especial;ANGEL RIVIÈRE;Zaragoza;7;
Zaragoza;50017369;Colegio de Educación Especial;ANGEL RIVIÈRE;Zaragoza;;1
Zaragoza;50018131;Colegio de Educación Especial;JEAN PIAGET;Zaragoza;13;
Zaragoza;50018131;Colegio de Educación Especial;JEAN PIAGET;Zaragoza;;2
Zaragoza;50019408;Colegio de Educación Especial;SEGEDA;Calatayud;5;
Zaragoza;50019408;Colegio de Educación Especial;SEGEDA;Calatayud;;1
